ap_name,avg_client_count,avg_cpu_usage_ratio,avg_memory_usage_ratio,avg_signal_5g_dbm,avg_signal_24g_dbm
01_29SB-RDPROD,0.8735100104154612,0.015865590166437578,0.7481781738224742,-56.37046273205874,
02_29SB-RENPROD,1.2176831385256337,0.011979676286455894,0.43010606989931716,-57.02769593400118,
03_29SB-RENPROD,0.5142923272769355,0.007665704687738553,0.42444440458280286,-56.16395283548568,
0c:ea:14:15:6b:f9,,,,-52.2,
0c:ea:14:15:7b:85,,,,-62.0,-53.25
0c:ea:14:2d:8b:c1,,,,-55.4,-68.8
0c:ea:14:2e:d5:31,,,,-63.0,-55.0
0c:ea:14:40:c5:69,,,,,-63.0
12SB BAWAH,0.8056937854414998,0.030869224309054793,0.4183081182733479,-61.21099434114794,-60.5072
12SB-LT1-VP,0.8790649230413147,0.03021790349671703,0.428925101261428,-56.9010514963602,-59.711436170212764
12SB-LT2:eaca,2.570767272306446,0.044098641013895226,0.43461823862978816,-54.73362974939369,-55.172661870503596
18:e8:29:59:7b:b4,,,,-83.0,
18:e8:29:c9:90:3e,,,,-63.0,-70.0
28:70:4e:4a:fe:ea,,,,-52.5,-48.0
28:70:4e:4b:09:71,,,,-49.5,
28:70:4e:7d:e8:a1,,,,-62.0,
29SB-LT1-GM-PEMEL,2.1686147436639276,0.04528844098335619,0.45819109478069664,-69.37855153203343,-62.617238493723846
29SB-LT1-RENDAL-TEKPROS,0.0,0.0,0.0,,
29SB-LT1-RENDALPROD-PRS,5.255873162828376,0.0983899068560085,0.522363476449485,-58.58099489795919,-57.30091556459817
29SB-LT1-SVP-VP,3.080083323689388,0.05776429225836001,0.47015990626084936,-61.087022642784724,-41.261872083447706
29SB-LT2-R.PAKAR,0.9700266172896655,0.059423599022751517,0.4899537553523897,-59.699562276163945,-61.05936540429887
29SB-LT2-RBPKOR,3.0231454692743895,0.0576031989616735,0.3631941789144775,-59.50432432432432,-61.314820497084995
2SB-LT1-RENDAL-PEM,1.8427265362805232,0.05056240647427084,0.31376162481194303,-60.17311849086264,-55.10613977792293
2SB-LT1-RENDAL-PEM(baru),1.3938053097345133,0.05272920353982295,0.3560362831858407,-60.84285714285714,-57.16949152542373
2SB-LT2-GMTSI,0.8255988890174748,0.037398747900442765,0.4494873162828376,-67.28633663366337,-68.01590668080594
4SB-INSTEK,2.4859468396286406,0.043205859707333635,0.40836798753339265,-60.72049888071634,-57.322418136020154
4SB-RELIABILITY,4.0402731165374375,0.051407955413040114,0.4209277398449253,-50.017085624509036,-48.2345297029703
4SB-RENDAL,1.6649550706033376,0.04096945373467106,0.4181021766965428,-59.61693548387097,-58.714285714285715
60:22:32:20:56:59,,,,-56.4,-58.8
68:d7:9a:19:67:cb,,,,-55.6,-61.0
70:a7:41:6a:87:9a,,,,-68.83333333333333,-64.11111111111111
70:a7:41:6f:c8:c6,,,,,-62.25
74:83:c2:40:79:4e,,,,,-66.0
74:83:c2:40:82:9b,,,,-54.5,-46.25
74:83:c2:86:7b:fd,,,,-64.57142857142857,-73.28571428571429
74:83:c2:9c:45:ce,,,,-49.5,-63.0
74:83:c2:9c:4e:8f,,,,-66.0,-85.75
84:78:48:86:c1:d7,,,,-53.0,
94:2a:6f:a4:4d:35,,,,-46.0,
94:2a:6f:ba:21:80,,,,-52.5,
9c:05:d6:a5:64:f6,,,,-51.25,
9c:05:d6:a5:6c:a8,,,,-64.5,
9c:05:d6:a5:75:54,,,,-60.0,
9c:05:d6:a5:80:5d,,,,-55.6,
9c:05:d6:a5:8c:29,,,,-59.0,-46.6
9c:05:d6:a5:8c:d8,,,,-55.2,
