ap_name,avg_client_count,avg_cpu_usage_ratio,avg_memory_usage_ratio,avg_signal_5g_dbm,avg_signal_24g_dbm,Cluster
01_29SB-RDPROD,0.8735100104154612,0.0158655901664375,0.7481781738224742,-56.37046273205874,-95.0,3
02_29SB-RENPROD,1.2176831385256337,0.0119796762864558,0.4301060698993171,-57.02769593400118,-95.0,3
03_29SB-RENPROD,0.5142923272769355,0.0076657046877385,0.4244444045828028,-56.16395283548568,-95.0,3
12SB BAWAH,0.8056937854414998,0.0308692243090547,0.4183081182733479,-61.21099434114794,-60.5072,2
12SB-LT1-VP,0.8790649230413147,0.030217903496717,0.428925101261428,-56.9010514963602,-59.71143617021277,2
12SB-LT2:eaca,2.570767272306446,0.0440986410138952,0.4346182386297881,-54.73362974939369,-55.1726618705036,2
29SB-LT1-GM-PEMEL,2.1686147436639276,0.0452884409833561,0.4581910947806966,-69.37855153203343,-62.617238493723846,2
29SB-LT1-RENDAL-TEKPROS,0.0,0.0,0.0,-95.0,-95.0,0
29SB-LT1-RENDALPROD-PRS,5.255873162828376,0.0983899068560085,0.522363476449485,-58.58099489795919,-57.30091556459817,1
29SB-LT1-SVP-VP,3.080083323689388,0.05776429225836,0.4701599062608493,-61.08702264278472,-41.261872083447706,2
29SB-LT2-R.PAKAR,0.9700266172896655,0.0594235990227515,0.4899537553523897,-59.699562276163945,-61.05936540429887,2
29SB-LT2-RBPKOR,3.0231454692743895,0.0576031989616735,0.3631941789144775,-59.50432432432432,-61.314820497084995,2
2SB-LT1-RENDAL-PEM,1.8427265362805232,0.0505624064742708,0.313761624811943,-60.17311849086264,-55.10613977792293,2
2SB-LT1-RENDAL-PEM(baru),1.393805309734513,0.0527292035398229,0.3560362831858407,-60.84285714285714,-57.16949152542373,2
2SB-LT2-GMTSI,0.8255988890174748,0.0373987479004427,0.4494873162828376,-67.28633663366337,-68.01590668080594,2
4SB-INSTEK,2.4859468396286406,0.0432058597073336,0.4083679875333926,-60.72049888071634,-57.322418136020154,2
4SB-RELIABILITY,4.0402731165374375,0.0514079554130401,0.4209277398449253,-50.01708562450904,-48.2345297029703,2
4SB-RENDAL,1.6649550706033376,0.040969453734671,0.4181021766965428,-59.61693548387097,-58.714285714285715,2
AC Pro,0.0,0.0,0.2901249999999999,-76.0,-59.0,0
AIRMINUMPSP,0.0863326003934729,0.0180941365093907,0.4026982062261312,-63.585642317380355,-95.0,3
ANX1-C-LOBBY,0.8819581067006134,0.0425476484959535,0.3463119777803494,-61.280967858432646,-95.0,3
ANX1-L-SISMAN,0.891563476449485,0.0273391510154221,0.3529545943756509,-51.632499006754074,-95.0,3
ANX1-L-UMUM1,0.1049647031593565,0.0269206978164604,0.3466660976738803,-62.32670807453416,-95.0,3
ANX1-L-UMUM2,0.6669366971415346,0.021704458695984,0.355514656868418,-54.70566801619433,-95.0,3
ANX1-R-TIINFRA,1.2615083251714003,0.0136263603979854,0.7459965711486652,-57.11188228761799,-95.0,3
ANX1-R-TIRAPAT,1.661497511862053,0.0214845854328904,0.4816643386182154,-52.72349077259931,-95.0,3
ANX1-R-TISTF,15.386992246267791,0.0803928691403267,0.3762393704432357,-44.579147752233126,-95.0,1
ANX1-R-TIVP,1.7905335030667746,0.053974339593831,0.45583923157042,-57.5046875,-95.0,3
ANX2-C-AUDTRM,0.836245804883694,0.007222186593373,0.3343871774100219,-63.540723981900456,-95.0,3
ANX2-L-BIC,1.41175789839139,0.0562028935715376,0.3614958685337345,-53.83088512241055,-95.0,3
ANX2-R-KORIDOR,0.356208772132855,0.0256361047488165,0.4261397060525401,-69.70876874148115,-95.0,3
ANX2-R-PB-L,1.771901400300891,0.0330805161093296,0.3671599641245226,-54.27582356225573,-95.0,3
ANX2-R-PB-R,2.957412336535123,0.0371875324477019,0.3592362226594144,-58.367743343518114,-95.0,3
AUDMUSI-CENTRE-L,0.7205184585117463,0.005988341731562,0.4281555606989931,-58.0640756302521,-95.0,3
AUDMUSI-CENTRE-R,1.1864367550052075,0.0266270499312871,0.553396458743201,-57.40329218106996,-95.0,3
AUDMUSI-FRONT-L,0.0222196505034139,0.0065176515498549,0.4301466496933225,-64.16379310344827,-95.0,3
AUDMUSI-FRONT-R,0.0004629093854877,0.0044478240952817,0.4222840643444045,-62.52941176470589,-95.0,3
AUDMUSI-REAR-L,0.0,5.735226752175887e-05,0.0011699571808818,-95.0,-95.0,0
AUDMUSI-REAR-R,0.0006943640782316,0.0034685829897694,0.4176255583844462,-56.88235294117647,-95.0,3
BATANGHARI,1.7202835332606323,0.0162698042704625,0.4810927779796511,-52.991774383078734,-95.0,3
BDG-PJG-L,6.616229508196722,0.0789913057796805,0.4603960642833716,-64.4691111111111,-71.07621751474122,1
BDG-PJG-R,4.564754098360655,0.0585953345408638,0.6636230239422761,-56.76335691632105,-58.49975124378109,2
BEDENG-PANJANG,3.111723052714398,0.0457332706766917,0.6642496658805032,-58.145969498910674,-60.418326693227094,2
BKLMESIN-LT1,1.2162944103691702,0.022527317147656,0.6384447401921074,-63.16743119266055,-55.982055156781264,2
BKLMESIN-LT2,2.2417544265709988,0.0317996869751106,0.3499556069899317,-59.49132075471698,-43.652419937394654,2
BKLTI-01-FRONT,2.441384099062609,0.0723372117880592,0.4608408286078,-53.5483188337644,-95.0,2
BKLTI-02-TEK,1.4929984955444973,0.0148935791723926,0.7476153628052309,-52.21496924128503,-95.0,3
BKLTI-03-INT,0.4774910311306561,0.0617210108413497,0.4466180534660339,-52.95697796432319,-95.0,3
BKLTI-04-UKS,0.453419743085291,0.0383559092991295,0.4319132970720981,-68.86978131212723,-95.0,3
COMMANDCENTRE,2.620182849207268,0.0135645213009619,0.44805940863326,-47.4725845410628,-47.47359307359307,2
